,Sentiment,Sentiment Num,Multi,Text,Text-original,Text_with_fullstop,Polarities Found,Polarity Count,Sarcasm?,Adversative Polarity,Adversative Present?,Polarity Count-after Adversative,Emoji Score,Polarity Count-multi
0,Positive,1,1,"you are good , do not ask ."," you  are  good, do not ask.","you are good , do not ask .","[0, 0, 1, 0, 0, 11, 0, 0]",-1,-1,1,0,-1,0,-1
1,Negative,-1,-1,"he cloth is ugly , there is no shopping here to buy one"," He cloth is ugly, there is no shopping here to buy one","he cloth is ugly , there is no shopping here to buy one","[0, 0, 0, -1, 0, 0, 0, 11, 0, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-1
2,Positive,1,2,"haha this meeting so intereting , i will not be there before 5 pm","haha this meeting so intereting, I will not be there before 5 pm","haha this meeting so intereting , i will not be there before 5 pm","[1, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0]",-1,-1,1,0,-1,0,-2
3,Negative,-1,-2,"it is really that hard to get another one , this is bad , i notot remember it .","it is really that hard to get another one, this is bad, I donot remember it.","it is really that hard to get another one , this is bad , i notot remember it .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-2
4,Negative,-1,-1,"itis just plain sad , i will not go to city today ."," It's just plain sad, I will not go to city today.","itis just plain sad , i will not go to city today .","[0, 0, 0, -1, 0, 0, 0, 11, 0, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-1
5,Positive,1,1,"thank you uncle for the care delivery , i cannot ask more !","Thank you uncle for the care delivery, I cannot ask more!","thank you uncle for the care delivery , i cannot ask more !","[1, 0, 0, 0, 0, 1, 0, 0, 0, 11, 0, 0, 0]",-1,-1,1,0,-1,0,-2
6,Positive,1,1,"thanks smrt remind me the logo , i do not see it","Thanks SMRT remind me the logo, I do not see it","thanks smrt remind me the logo , i do not see it","[1, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0]",-1,-1,1,0,-1,0,-1
7,Negative,-1,-1,"in the morning i lost my phone , sad . i have not find it till now .","In the morning I lost my phone, sad. I have not find it till now.","in the morning i lost my phone , sad . i have not find it till now .","[0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 11, 0, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-1
8,Negative,-1,-1,seriously ? picture might being edited ? not see it,Seriously? Picture might being Edited? Not see it,seriously ? picture might being edited ? not see it,"[-1, 0, 0, 0, 0, 0, 0, 11, 0, 0]",-1,0,-1,0,-1,0,-2
9,Negative,-1,-1,"it is bad , isnot it","it is bad, Isn't it","it is bad , isnot it","[0, 0, -1, 0, 11, 0]",-1,0,-1,0,-1,0,-1
