id,category_code,degree,domain_name,original_phases,replace_type,target_produced_words1,target_produced_words2,Word,Sentiment
1747,27,100,education,extension service,Ngram,extension-service,extension-service,extension-service,Positive
1748,27,100,education,extracurricular activity,Ngram,extracurricular-activity,extracurricular-activity,extracurricular-activity,Positive
1749,28,100,healthcare,alcohol addiction,Ngram,alcohol-addiction,alcohol-addiction,alcohol-addiction,Negative
1750,28,100,healthcare,bad condition,Ngram,bad-condition,bad-condition,bad-condition,Negative
1751,28,100,healthcare,health hazard,Ngram,health-hazard,health-hazard,health-hazard,Negative
1752,28,100,healthcare,old age,Ngram,old-age,old-age,old-age,Negative
1753,28,100,healthcare,persistent cruelty,Ngram,persistent-cruelty,persistent-cruelty,persistent-cruelty,Negative
1754,28,100,healthcare,poor shape,Ngram,poor-shape,poor-shape,poor-shape,Negative
1755,28,100,healthcare,sinking spell,Ngram,sinking-spell,sinking-spell,sinking-spell,Negative
1756,27,100,healthcare,cut off,Ngram,cut-off,cut-off,cut-off,Positive
1757,27,100,healthcare,cut away,Ngram,cut-away,cut-away,cut-away,Positive
1758,27,100,healthcare,cut back,Ngram,cut-back,cut-back,cut-back,Positive
1759,27,100,healthcare,fever has gone down,Ngram,fever-gonedown,fever-gonedown,fever-gonedown,Positive
1760,27,100,healthcare,take action,Ngram,take-action,take-action,take-action,Positive
1761,27,100,healthcare,advance directive,Ngram,advance-directive,advance-directive,advance-directive,Positive
1762,27,100,healthcare,all hail,Ngram,all-hail,all-hail,all-hail,Positive
1763,27,100,healthcare,all right,Ngram,all-right,all-right,all-right,Positive
1764,27,100,healthcare,bill of health,Ngram,bill-ofhealth,bill-ofhealth,bill-ofhealth,Positive
1765,27,100,healthcare,bounce back,Ngram,bounce-back,bounce-back,bounce-back,Positive
1766,27,100,healthcare,care delivery,Ngram,care-delivery,care-delivery,care-delivery,Positive
1767,27,100,healthcare,electrolyte balance,Ngram,electrolyte-balance,electrolyte-balance,electrolyte-balance,Positive
1768,27,100,healthcare,fat farm,Ngram,fat-farm,fat-farm,fat-farm,Positive
1769,27,100,healthcare,feel like a million,Ngram,feel-likeamillion,feel-likeamillion,feel-likeamillion,Positive
1770,27,100,healthcare,feel like a million dollars,Ngram,feel-likeamilliondollars,feel-likeamilliondollars,feel-likeamilliondollars,Positive
1771,27,100,healthcare,fountain of youth,Ngram,fountain-ofyouth,fountain-ofyouth,fountain-ofyouth,Positive
1772,27,100,healthcare,fringe benefit,Ngram,fringe-benefit,fringe-benefit,fringe-benefit,Positive
1773,27,100,healthcare,get over,Ngram,getover,getover,getover,Positive
1774,27,100,healthcare,get well,Ngram,getwell,getwell,getwell,Positive
1775,27,100,healthcare,good for you,Ngram,goodforyou,goodforyou,goodforyou,Positive
1776,27,100,healthcare,group insurance,Ngram,groupinsurance,groupinsurance,groupinsurance,Positive
1777,27,100,healthcare,health care,Ngram,healthcare,healthcare,healthcare,Positive
1778,27,100,healthcare,health check,Ngram,healthcheck,healthcheck,healthcheck,Positive
1779,27,100,healthcare,health code,Ngram,healthcode,healthcode,healthcode,Positive
1780,27,100,healthcare,health food,Ngram,healthfood,healthfood,healthfood,Positive
1781,27,100,healthcare,health insurance,Ngram,healthinsurance,healthinsurance,healthinsurance,Positive
1782,27,100,healthcare,health physics,Ngram,healthphysics,healthphysics,healthphysics,Positive
1783,27,100,healthcare,health profession,Ngram,healthprofession,healthprofession,healthprofession,Positive
1784,27,100,healthcare,health spa,Ngram,healthspa,healthspa,healthspa,Positive
1785,27,100,healthcare,herbal medicine,Ngram,herbalmedicine,herbalmedicine,herbalmedicine,Positive
1786,27,100,healthcare,hot springs,Ngram,hotsprings,hotsprings,hotsprings,Positive
