Word,Sentiment,Sentiment Num
abuthen,Negative,-1
act-blur,Negative,-1
act-cute,Negative,-1
ahbang,Positive,1
ahbeng,Negative,-1
ah-beng,Negative,-1
ahlian,Negative,-1
ah-lian,Negative,-1
ahlong,Negative,-1
ah-long,Negative,-1
ahnei,Negative,-1
ah-nei,Negative,-1
ahtiong,Negative,-1
ah-tiong,Negative,-1
aisee,Negative,-1
ai-see,Negative,-1
ai-see-buay-see,Negative,-1
aiya,Negative,-1
ai-ya,Negative,-1
ai-yah,Negative,-1
aiyo,Negative,-1
aiyoyo,Negative,-1
alamk,Negative,-1
atas,Positive,1
ationg,Negative,-1
a-tiong,Negative,-1
bagus,Positive,1
baik,Positive,1
baik-ah,Positive,1
bang,Positive,1
bobian,Negative,-1
bo-bian,Negative,-1
bo-doh,Negative,-1
boh-chup,Negative,-1
bohliao,Negative,-1
boh-liao,Negative,-1
bojio,Negative,-1
bo-jio,Negative,-1
bo-leh,Positive,1
boliao,Negative,-1
bo-liao,Negative,-1
bo-wei-kong,Negative,-1
bo-zheng-hu,Negative,-1
buaylun,Negative,-1
buay-lun,Negative,-1
buaypai,Positive,1
buay-pai,Positive,1
buaysai,Negative,-1
buay-sai,Negative,-1
buay-song,Negative,-1
buay-steady,Negative,-1
buay-tahan,Negative,-1
bueylun,Negative,-1
buey-lun,Negative,-1
bueypai,Positive,1
buey-pai,Positive,1
bueysai,Negative,-1
buey-sai,Negative,-1
bueysong,Negative,-1
buey-song,Negative,-1
buey-steady,Negative,-1
buey-tahan,Negative,-1
busoh,Negative,-1
bu-soh,Negative,-1
butoh,Negative,-1
catch-no-ball,Negative,-1
CB,Negative,-1
CCB,Negative,-1
Chinese-helicopter,Negative,-1
chio,Positive,1
chiong,Negative,-1
chui,Negative,-1
cibai,Negative,-1
Cina,Negative,-1
cui,Negative,-1
dulan,Negative,-1
du-lan,Negative,-1
dun,Negate,-1
earlier-never-say,Negative,-1
eat-snake,Negative,-1
geh-kiang,Negative,-1
hah,Negative,-1
haiya,Negative,-1
haiyah,Negative,-1
hai-yah,Negative,-1
haiz,Negative,-1
han-nah,Negative,-1
hao-lian,Negative,-1
har,Negative,-1
heng-ah,Positive,1
hiong,Negative,-1
hoe-mia,Positive,1
hong-kan,Negative,-1
hong-kan-ah,Negative,-1
horr,Negative,-1
hosay,Positive,1
ho-say,Positive,1
hoseh,Positive,1
ho-seh,Positive,1
huat,Positive,1
huat-ah,Positive,1
jiakchao,Negative,-1
jiak-chao,Negative,-1
jiakzua,Negative,-1
jiak-zua,Negative,-1
jialat,Negative,-1
kaki,Positive,1
kanchiong,Negative,-1
kanchong,Negative,-1
KaNiNaBei,Negative,-1
KanNiNa,Negative,-1
kantang,Negative,-1
kaopei,Negative,-1
kao-pei,Negative,-1
kaput,Negative,-1
kaypo,Negative,-1
kay-po,Negative,-1
kayu,Negative,-1
kelong,Negative,-1
kentot,Negative,-1
kentut,Negative,-1
kiasi,Negative,-1
kiasu,Negative,-1
kilat,Positive,1
KNN,Negative,-1
KNNBCCB,Negative,-1
KNNCCB,Negative,-1
KNNPCB,Negative,-1
KNS,Negative,-1
kosong,Negative,-1
koyak,Negative,-1
koyok,Negative,-1
KPCB,Negative,-1
KPKB,Negative,-1
kpo,Negative,-1
kuailan,Negative,-1
kuai-lan,Negative,-1
kuku,Negative,-1
kwailan,Negative,-1
kwai-lan,Negative,-1
lama,Negative,-1
lanjiao,Negative,-1
lan-jiao,Negative,-1
laojiao,Positive,1
lao-jiao,Positive,1
leceh,Negative,-1
liak-bo-kiu,Negative,-1
loh,Negative,-1
malu,Negative,-1
mati,Negative,-1
nabei,Negative,-1
na-bei,Negative,-1
NB,Negative,-1
NBCB,Negative,-1
NiNaBei,Negative,-1
NNB,Negative,-1
NNBCB,Negative,-1
oi,Negative,-1
orh-hor,Negative,-1
paisay,Negative,-1
pai-say,Negative,-1
pai-seh,Negative,-1
paisey,Negative,-1
pai-sey,Negative,-1
pang-sai,Negative,-1
pekchek,Negative,-1
pek-chek,Negative,-1
pengsan,Negative,-1
peng-san,Negative,-1
ramai,Negative,-1
saki,Positive,1
sala,Negative,-1
salacious,Negative,-1
salah,Negative,-1
sejok,Negative,-1
sejuk,Negative,-1
shiok,Positive,1
shiok-man,Positive,1
sia,Negative,-1
sial,Negative,-1
siao,Negative,-1
sibeh,Negative,-1
si-beh,Negative,-1
sibei,Negative,-1
si-bei,Negative,-1
sibey,Negative,-1
si-bey,Negative,-1
sien,Negative,-1
SiMiLanJiao,Negative,-1
sio,Negative,-1
siol,Negative,-1
siong,Negative,-1
skank,Negative,-1
SMLJ,Negative,-1
Song bo,Positive,1
sotong,Negative,-1
suka,Negative,-1
suku,Negative,-1
tak-boleh-tahan,Negative,-1
talk-cock,Negative,-1
Tekan,Negative,-1
tio-bay-pio,Positive,1
tokong,Positive,1
to-kong,Positive,1
tok-tok,Negative,-1
wa,Negative,-1
wah,Negative,-1
wahbiang,Negative,-1
wah-biang,Negative,-1
wahkao,Negative,-1
wah-kao,Negative,-1
wahlan,Negative,-1
wah-lan,Negative,-1
wahpiang,Negative,-1
wah-piang,Negative,-1
wakao,Negative,-1
wa-kao,Negative,-1
walan,Negative,-1
wa-lan,Negative,-1
walang,Negative,-1
wa-lang,Negative,-1
walao,Negative,-1
walaoeh,Negative,-1
wallow,Negative,-1
wanton,Negative,-1
wapiang,Negative,-1
wa-piang,Negative,-1
wayang,Negative,-1
wa-yang,Negative,-1
yah-lah,Negative,-1
yandao,Positive,1
yan-dao,Positive,1
yaya-papaya,Negative,-1
zai,Positive,1
zi-siao,Negative,-1
