Word,Sentiment,Sentiment Num
abused,negative,-1
accelerating,negative,-1
accident,negative,-1
assaulting,negative,-1
breakdown,negative,-1
broke,negative,-1
busy,negative,-1
cancelled,negative,-1
cheatskate,negative,-1
collides,negative,-1
comfort,positive,1
complain,negative,-1
complained,negative,-1
complains,negative,-1
concerns,negative,-1
concession,positive,1
confusing,negative,-1
corrupt,negative,-1
crash,negative,-1
crashes,negative,-1
criticise,negative,-1
criticises,negative,-1
crowded,negative,-1
delay,negative,-1
discount,positive,1
discovering,positive,1
disruption,negative,-1
distracting,negative,-1
drink,negative,-1
drunk,negative,-1
failure,negative,-1
fare,negative,-1
fares,negative,-1
faulty,negative,-1
fined,negative,-1
fire,negative,-1
floods,negative,-1
forever,negative,-1
free,positive,1
full,negative,-1
futuristic,positive,1
help,positive,1
honk,negative,-1
hospital,negative,-1
illegally,negative,-1
inconsistent,negative,-1
inconvenience,negative,-1
insulted,negative,-1
issue,negative,-1
jam,negative,-1
jammed,negative,-1
jerky,negative,-1
killed,negative,-1
late,negative,-1
long,negative,-1
longer,negative,-1
loud,negative,-1
meter,negative,-1
metered ,negative,-1
missed,negative,-1
molesting,negative,-1
noise,negative,-1
nsfw,negative,-1
offered,positive,1
outdated,negative,-1
overdue,negative,-1
overrated,negative,-1
packed,negative,-1
postponed,negative,-1
price,negative,-1
problem,negative,-1
queue,negative,-1
risk,negative,-1
safe,positive,1
slow,negative,-1
smile,positive,1
snail,negative,-1
stop,negative,-1
stopage,negative,-1
stuck,negative,-1
surge,negative,-1
tightening,negative,-1
traffic,negative,-1
wait,negative,-1
waited,negative,-1
waiting,negative,-1
warm,negative,-1
warning,negative,-1
waste,negative,-1
wasted,negative,-1
