Word,Sentiment,Sentiment Num,Strength Indicator
admirable,positive,1,1
adorable,positive,1,1
adore,positive,1,1
adored,positive,1,1
alluring,positive,1,1
amaze,positive,1,1
amazing,positive,1,1
amusing,positive,1,1
amusingly,positive,1,1
artfully,positive,1,1
astonishing,positive,1,1
Astonishingly,positive,1,1
attraction,positive,1,1
award-winning,positive,1,1
award-worthy,positive,1,1
awe-inspiring,positive,1,1
Awesome,positive,1,1
beautiful,positive,1,1
Beautifully,positive,1,1
best,positive,1,1
best-foreign-film,positive,1,1
better,positive,1,1
big-hearted,positive,1,1
Blessed,positive,1,1
breathtaking,positive,1,1
breath-taking,positive,1,1
breathtakingly,positive,1,1
brilliant,positive,1,1
brilliantly,positive,1,1
captivated,positive,1,1
captivating,positive,1,1
career-best,positive,1,1
career-defining,positive,1,1
celebrate,positive,1,1
charming,positive,1,1
cheerful,positive,1,1
cheery,positive,1,1
clever,positive,1,1
Compelling,positive,1,1
confident,positive,1,1
creative,positive,1,1
critic-proof,positive,1,1
crowd-pleaser,positive,1,1
cutting-edge,positive,1,1
Darling,positive,1,1
dazzles,positive,1,1
dazzling,positive,1,1
delectable,positive,1,1
delight,positive,1,1
delightful,positive,1,1
effortless,positive,1,1
Electric,positive,1,1
elegant,positive,1,1
eloquent,positive,1,1
embracing,positive,1,1
Enchanted,positive,1,1
encourage,positive,1,1
energizing,positive,1,1
engaging,positive,1,1
engrossing,positive,1,1
enjoy,positive,1,1
enjoyably,positive,1,1
enrapturing,positive,1,1
Enriched,positive,1,1
entertained,positive,1,1
entertaining,positive,1,1
enthralling,positive,1,1
esteemed,positive,1,1
euphoria,positive,1,1
everlasting,positive,1,1
excellence,positive,1,1
excellent,positive,1,1
excites,positive,1,1
exciting,positive,1,1
exemplary,positive,1,1
exhilarate,positive,1,1
exhilarating,positive,1,1
exquisite,positive,1,1
exquisitely,positive,1,1
extraordinarily,positive,1,1
extraordinary,positive,1,1
extravagant,positive,1,1
exuberant,positive,1,1
eye-catching,positive,1,1
eye-popping,positive,1,1
fabulous,positive,1,1
fabulousness,positive,1,1
Fantastic,positive,1,1
favorite,positive,1,1
favourite,positive,1,1
Feelgood,positive,1,1
fiery,positive,1,1
flawless,positive,1,1
four-star,positive,1,1
Freedom,positive,1,1
fresh,positive,1,1
full-bodied,positive,1,1
fun,positive,1,1
funniest,positive,1,1
genius,positive,1,1
genre-busting,positive,1,1
genuine,positive,1,1
giggle-inducing,positive,1,1
gleefully,positive,1,1
glorious,positive,1,1
goodies,positive,1,1
good-time,positive,1,1
Gorgeous,positive,1,1
gorgeousness,positive,1,1
grand,positive,1,1
Great,positive,1,1
Greatest,positive,1,1
happiness,positive,1,1
happy,positive,1,1
heartbeat,positive,1,1
heart-warming,positive,1,1
heroic,positive,1,1
hilarious,positive,1,1
honest,positive,1,1
hope,positive,1,1
humor,positive,1,1
Humorous,positive,1,1
hunk,positive,1,1
iconic,positive,1,1
imaginative,positive,1,1
impeccable,positive,1,1
impressed,positive,1,1
impressive,positive,1,1
informative,positive,1,1
ingenious,positive,1,1
ingeniously,positive,1,1
insightfully,positive,1,1
inspiration,positive,1,1
inspirational,positive,1,1
inspires,positive,1,1
Intelligent,positive,1,1
inventively,positive,1,1
invigorating,positive,1,1
joy,positive,1,1
joyful,positive,1,1
kickass,positive,1,1
kids-and-family-oriented,positive,1,1
laugh-filled,positive,1,1
laughing,positive,1,1
Laugh-out-loud,positive,1,1
laughter,positive,1,1
Legendary,positive,1,1
liberated,positive,1,1
literate,positive,1,1
love,positive,1,1
loved,positive,1,1
lovingly,positive,1,1
luminous,positive,1,1
magnificence,positive,1,1
magnificent,positive,1,1
magnificently,positive,1,1
majestic,positive,1,1
marvellous,positive,1,1
marvelous,positive,1,1
Marvelously,positive,1,1
masterful,positive,1,1
masterfully,positive,1,1
masterpeice,positive,1,1
masterpiece,positive,1,1
melodic,positive,1,1
memorable,positive,1,1
mesmerised,positive,1,1
mesmerizing,positive,1,1
miraculous,positive,1,1
monumental,positive,1,1
must-see,positive,1,1
near-masterpiece,positive,1,1
nicest,positive,1,1
often-hilarious,positive,1,1
One-of-a-kind,positive,1,1
Orgasm,positive,1,1
Oscar-nominated,positive,1,1
Oscar-sweeping,positive,1,1
Oscar-winning,positive,1,1
Oscar-worthy,positive,1,1
outstanding,positive,1,1
page-turner,positive,1,1
perfect,positive,1,1
perfection,positive,1,1
perfectly,positive,1,1
phenomenal,positive,1,1
picture-perfect,positive,1,1
playful,positive,1,1
pleasant,positive,1,1
pleased,positive,1,1
pleasing,positive,1,1
pleasure,positive,1,1
poignant,positive,1,1
polished,positive,1,1
powerful,positive,1,1
praise,positive,1,1
praiseworthy,positive,1,1
pretty,positive,1,1
priceless,positive,1,1
proud,positive,1,1
pure,positive,1,1
recommended,positive,1,1
relaxing,positive,1,1
remarkable,positive,1,1
revered,positive,1,1
riveted,positive,1,1
riveting,positive,1,1
satisfies,positive,1,1
satisfy,positive,1,1
satisfying,positive,1,1
savory,positive,1,1
scintillating,positive,1,1
sensational,positive,1,1
sexy,positive,1,1
shine,positive,1,1
shines,positive,1,1
side-splittingly,positive,1,1
slam-dunk,positive,1,1
smart,positive,1,1
smile,positive,1,1
soars,positive,1,1
sparkles,positive,1,1
sparklingly,positive,1,1
Spectacular,positive,1,1
spectacularly,positive,1,1
spellbinding,positive,1,1
spirited,positive,1,1
splendid,positive,1,1
splendid-looking,positive,1,1
Splendidly,positive,1,1
spot-on,positive,1,1
standout,positive,1,1
stunning,positive,1,1
stunningly,positive,1,1
stupendous,positive,1,1
successful,positive,1,1
super,positive,1,1
superb,positive,1,1
super-cool,positive,1,1
Superior,positive,1,1
sweet,positive,1,1
sweetheart,positive,1,1
tantalizing,positive,1,1
terrific,positive,1,1
thoughtful,positive,1,1
thrilling,positive,1,1
thrills,positive,1,1
timeless,positive,1,1
titillating,positive,1,1
topnotch,positive,1,1
Top-notch,positive,1,1
tremendous,positive,1,1
Triumph,positive,1,1
trumps,positive,1,1
unforgettable,positive,1,1
unpretentious,positive,1,1
Uplifting,positive,1,1
warmth,positive,1,1
way-cool,positive,1,1
well-conceived,positive,1,1
well-executed,positive,1,1
well-made,positive,1,1
well-meaning,positive,1,1
well-mounted,positive,1,1
well-produced,positive,1,1
Well-shot,positive,1,1
well-structured,positive,1,1
well-written,positive,1,1
winner,positive,1,1
wins,positive,1,1
wiser,positive,1,1
worthy,positive,1,1
Wow,positive,1,1
aborbing,positive,1,0
above-average,positive,1,0
absorbing,positive,1,0
abundance,positive,1,0
abundant,positive,1,0
academic,positive,1,0
accentuating,positive,1,0
acceptable,positive,1,0
accessible,positive,1,0
acclaim,positive,1,0
acclaimed,positive,1,0
accomplished,positive,1,0
accomplishes,positive,1,0
accomplishment,positive,1,0
accuracy,positive,1,0
accurate,positive,1,0
accurately,positive,1,0
ace,positive,1,0
achieve,positive,1,0
achieved,positive,1,0
achievement,positive,1,0
action-filled,positive,1,0
action-packed,positive,1,0
acumen,positive,1,0
adapts,positive,1,0
add,positive,1,0
addictive,positive,1,0
adding,positive,1,0
adept,positive,1,0
adequately,positive,1,0
Admirable,positive,1,0
admirably,positive,1,0
admiration,positive,1,0
mire,negative,-1,
admire,positive,1,0
admired,positive,1,0
admirers,positive,1,0
admiring,positive,1,0
Adobo,positive,1,0
adorably,positive,1,0
adoration,positive,1,0
adrenalin,positive,1,0
adrenalized,positive,1,0
Adroit,positive,1,0
advances,positive,1,0
advancing,positive,1,0
advantage,positive,1,0
adventure,positive,1,0
adventures,positive,1,0
adventurous,positive,1,0
Affable,positive,1,0
affectation,positive,1,0
affectingly,positive,1,0
affection,positive,1,0
Affectionately,positive,1,0
affirm,positive,1,0
affirming,positive,1,0
Affirms,positive,1,0
affluence,positive,1,0
afresh,positive,1,0
afterlife,positive,1,0
aggrandizing,positive,1,0
agile,positive,1,0
Ago,positive,1,0
agreeable,positive,1,0
agreeably,positive,1,0
agreed,positive,1,0
a-knocking,positive,1,0
alacrity,positive,1,0
Alcatraz,positive,1,0
Alexandre,positive,1,0
A-list,positive,1,0
alive,positive,1,0
all-American,positive,1,0
allegorical,positive,1,0
all-powerful,positive,1,0
all-star,positive,1,0
all-stars,positive,1,0
allusions,positive,1,0
all-woman,positive,1,0
Ally,positive,1,0
altered,positive,1,0
amazement,positive,1,0
amazingly,positive,1,0
ambiguous,positive,1,0
Americans,positive,1,0
amiable,positive,1,0
amicable,positive,1,0
amours,positive,1,0
amped-up,positive,1,0
ample,positive,1,0
amused,positive,1,0
amusedly,positive,1,0
amusement,positive,1,0
amusements,positive,1,0
amuses,positive,1,0
Anchored,positive,1,0
anchoring,positive,1,0
Andrei,positive,1,0
Angel,positive,1,0
animal,positive,1,0
answered,positive,1,0
anthropomorphic,positive,1,0
anticipated,positive,1,0
Any,positive,1,0
aplenty,positive,1,0
appeal,positive,1,0
appealing,positive,1,0
appealingly,positive,1,0
appeals,positive,1,0
appetizing,positive,1,0
applaud,positive,1,0
appreciate,positive,1,0
appreciated,positive,1,0
appreciates,positive,1,0
appreciation,positive,1,0
appreciative,positive,1,0
appropriate,positive,1,0
appropriately,positive,1,0
Aptly,positive,1,0
Argento,positive,1,0
Armenian-Canadian,positive,1,0
aroused,positive,1,0
arousing,positive,1,0
arresting,positive,1,0
art-conscious,positive,1,0
artful,positive,1,0
articulates,positive,1,0
artistes,positive,1,0
artistic,positive,1,0
artistry,positive,1,0
artsy,positive,1,0
artwork,positive,1,0
ascension,positive,1,0
aspired,positive,1,0
aspires,positive,1,0
aspiring,positive,1,0
assertive,positive,1,0
asset,positive,1,0
assurance,positive,1,0
Assured,positive,1,0
assuredly,positive,1,0
assuredness,positive,1,0
astonish,positive,1,0
astonishingly,positive,1,0
astounding,positive,1,0
astoundingly,positive,1,0
astounds,positive,1,0
Atom,positive,1,0
attentive,positive,1,0
attracting,positive,1,0
attractive,positive,1,0
attuned,positive,1,0
audience-pleaser,positive,1,0
aura,positive,1,0
authentic,positive,1,0
authentically,positive,1,0
authenticate,positive,1,0
available,positive,1,0
avid,positive,1,0
awakens,positive,1,0
award,positive,1,0
awed,positive,1,0
ayatollah,positive,1,0
backbone,positive,1,0
backwater,positive,1,0
Bacon,positive,1,0
baked,positive,1,0
Ballhaus,positive,1,0
Ballot,positive,1,0
ballsy,positive,1,0
Bambi,positive,1,0
bang-up,positive,1,0
batch,positive,1,0
Batman,positive,1,0
beaches,positive,1,0
beatings,positive,1,0
beaut,positive,1,0
beautifully,positive,1,0
Beauty,positive,1,0
becalmed,positive,1,0
becoming,positive,1,0
beer-fueled,positive,1,0
beginnings,positive,1,0
beguiling,positive,1,0
Beijing,positive,1,0
Believability,positive,1,0
believable,positive,1,0
beloved,positive,1,0
beloved-major,positive,1,0
bends,positive,1,0
benefit,positive,1,0
benefits,positive,1,0
Benoit,positive,1,0
Berlin,positive,1,0
best-selling,positive,1,0
best-sustained,positive,1,0
Better,positive,1,0
better-focused,positive,1,0
better-than-average,positive,1,0
bidder,positive,1,0
big-fisted,positive,1,0
bigger,positive,1,0
bigger-than-life,positive,1,0
biggest,positive,1,0
big-time,positive,1,0
bills,positive,1,0
Binks,positive,1,0
biologically,positive,1,0
Bisset,positive,1,0
bittersweet,positive,1,0
blast,positive,1,0
blasts,positive,1,0
blazing,positive,1,0
blazingly,positive,1,0
Bledel,positive,1,0
blessed,positive,1,0
blessedly,positive,1,0
blessing,positive,1,0
bliss,positive,1,0
