A,B,C,D
absolutely,alot,,almost
af,attractive,,barely
as fuck,attractively,,bit
awfully,badly,,bitsy
best,beautiful,,bitty
biggest,beautifully,,brief
brilliant,better,,bush-league
completely,big,,few
crown,bigger,,fewer
dead,bloody,,fewest
definitely,certainly,,hardly
distinguished,clearly,,inconsequential
entirely,considerably,,inconsiderable
epic,damn,,insignificant
exceedingly,desirably,,just
exceptionally,effectively,,kind of
excessively,especially,,less
eximious,fairly,,lesser
extra,far,,light
extraordinary,genuinely,,limited
extremely,greater,,little
fantastic,greatly,,low
fkin,heavily,,lower
fking,highly,,lowest
fucking,huge,,microscopic
fully,indeed,,mildly
greatest,largely,,mini
highest,lovely,,minor
largest,major,,minute
marvellous,notably,,negligible
mass,noticeably,,not in the least
massive,particularly,,occasional
max,pretty,,only
maximum,quite,,pocket
most,really,,pocket-size
outstandingly,so,,rare
perfectly,solid,,rarely
remarkably,solidly,,relatively
strikingly,strongly,,ridiculously
stunningly,superior,,scarcely
super,superiorly,,seldom
supernacular,too,,seldomly
supreme,truly,,semioccasional
surpassingly,unusually,,slight
surprisingly,vastly,,slightly
tiptop,very,,small
top,wonderful,,small-fry
topgallant,wonderfully,,small-time
top-notch,wow,,somewhat
totally ,rather,,sort of
tremendously,uncommonly,,sparse
ultimate,worse,,sparsely
unique,more,,subsidiary
uniquely,scary,,trim
utmost,much,,merely 
utterly,so,,half
uttermost,considerable,,moderate
eminent,pure,,moderately
eminently,purely,,near
deeply,much,,nearly
enormously,uncommon,,part
amazing,adequate,,partly
awesome,adequately,,relatively
fabulous,large,,virtually
incredible,reasonable ,,
incredibly,reasonably ,,
severely,supremely,,
significant,sufficiently,,
significantly,,,
terribly,,,
thoroughly,,,
worst,,,
amazingly,,,
absolute,,,
altogether,,,
complete,,,
dearly,,,
deep,,,
drastical,,,
drastically,,,
dreadful,,,
dreadfully,,,
enormous,,,
entire,,,
exceeding,,,
excessive,,,
extensive,,,
extensively,,,
extreme,,,
full,,,
great,,,
immense,,,
immensely,,,
intense,,,
intensely,,,
perfect,,,
seriously ,,,
crazy ,,,
remarkable,,,
soundly,,,
strong,,,
sufficient,,,
surprising,,,
terrible,,,
thorough,,,
total,,,
tremendous,,,
ultimately,,,
vast,,,
awful,,,
terrified,,,
