Word,English,Sentiment,Sentiment Num
abuthen,filler,Negative,-1
act blur,ignorant,negative,-1
act blur,pretend blur,negative,-1
act-blur,filler,Negative,-1
act-cute,filler,Negative,-1
adoi,pain,negative,-1
ah long,loan shark,negative,-1
ah qua,sissy,negative,-1
ahbang,filler,Positive,1
ahbeng,filler,Negative,-1
ah-beng,filler,Negative,-1
ahlian,filler,Negative,-1
ah-lian,filler,Negative,-1
ahlong,filler,Negative,-1
ah-long,filler,Negative,-1
ahnei,filler,Negative,-1
ah-nei,filler,Negative,-1
ahtiong,filler,Negative,-1
ah-tiong,filler,Negative,-1
ai zai,calm down,positive,1
aisee,filler,Negative,-1
ai-see,filler,Negative,-1
ai-see-buay-see,filler,Negative,-1
aiya,filler,Negative,-1
ai-ya,filler,Negative,-1
aiyah,oh no,negative,-1
ai-yah,filler,Negative,-1
aiyo,filler,Negative,-1
aiyoh,oh no,negative,-1
aiyoyo,filler,Negative,-1
alamak,oh no,negative,-1
alamk,filler,Negative,-1
anyhow,carelessly,negative,-1
atas,filler,Positive,1
ationg,filler,Negative,-1
a-tiong,filler,Negative,-1
attend C,sick,negative,-1
bagus,filler,Positive,1
baik,filler,Positive,1
baik-ah,filler,Positive,1
balek kampung,return home,positive,1
balek kampung,go home,positive,1
balls drop,shocked,negative,-1
balls shrink,scared,negative,-1
bang,filler,Positive,1
basket,oh no,negative,-1
blanket party,torture,negative,-1
blur,stupid,negative,-1
blur king,frequently blur,negative,-1
blur like sotong,very blur,negative,-1
bo,without,negative,-1
bo chap,indiffierent,negative,-1
bo cheng hu,lawless,negative,-1
bo hew,groan,negative,-1
bo hua,not worth,negative,-1
bo idea,no idea,negative,-1
bo pakeh,useless,negative,-1
bo pian,no choice,negative,-1
bo sui,undesired,negative,-1
bobian,filler,Negative,-1
bo-bian,filler,Negative,-1
bobo,inaccurate,negative,-1
bodo,stupid,negative,-1
bodoh,stupid,negative,-1
bo-doh,filler,Negative,-1
boh chap,hopeless,negative,-1
boh-chup,filler,Negative,-1
bohliao,filler,Negative,-1
boh-liao,filler,Negative,-1
bojio,filler,Negative,-1
bo-jio,filler,Negative,-1
bo-leh,filler,Positive,1
boliao,filler,Negative,-1
bo-liao,filler,Negative,-1
bo-wei-kong,filler,Negative,-1
bo-zheng-hu,filler,Negative,-1
buay,not,negative,-1
buay song,unhappy,negative,-1
buay zai,not smart,negative,-1
buay zai,panicky,negative,-1
buaylun,filler,Negative,-1
buay-lun,filler,Negative,-1
buaypai,filler,Positive,1
buay-pai,filler,Positive,1
