Word,Sentiment
2-faced,Negative
2-faces,Negative
a+,Positive
aaggh,Negative
aagghh,Negative
aagh,Negative
aaghh,Negative
abandon,Negative
abandoned,Negative
abandonee,Negative
abandoner,Negative
abandoners,Negative
abandoning,Negative
abandonment,Negative
abandonments,Negative
abandons,Negative
abashed,Negative
abdicate,Negative
abdicated,Negative
abdicates,Negative
abhor,Negative
abhorred,Negative
abhorrence,Negative
abhorrences,Negative
abhorrent,Negative
abhorrently,Negative
abhorrer,Negative
abhorrers,Negative
abhorring,Negative
abhors,Negative
abject,Negative
ABNN,Negative
abnormal,Negative
abolish,Negative
abomina,Negative
abominable,Negative
abominably,Negative
abominate,Negative
abominated,Negative
abominates,Negative
abominating,Negative
abomination,Negative
abominations,Negative
abominator,Negative
abominators,Negative
abort,Negative
aborted,Negative
aborts,Negative
abound,Positive
abounds,Positive
abrade,Negative
abrasive,Negative
abrasively,Negative
abrasiveness,Negative
abrasives,Negative
abrupt,Negative
abruptly,Negative
abscond,Negative
absconded,Negative
absconder,Negative
absconders,Negative
absconding,Negative
absconds,Negative
absence,Negative
absent,Negative
absented,Negative
absentee,Negative
absenteeism,Negative
absentees,Negative
absenter,Negative
absenters,Negative
absentia,Negative
absenting,Negative
absently,Negative
absently,Negative
absentminded,Negative
absent-minded,Negative
absentmindedly,Negative
absent-mindedly,Negative
absentmindedness,Negative
absent-mindedness,Negative
absents,Negative
absorption,Positive
absurd,Negative
absurder,Negative
absurdest,Negative
absurdist,Negative
absurdities,Negative
absurdity,Negative
absurdly,Negative
absurdness,Negative
absurds,Negative
absurdum,Negative
abundance,Positive
abundant,Positive
abuse,Negative
abused,Negative
abuser,Negative
abusers,Negative
abuses,Negative
abusi,Negative
abusing,Negative
abusive,Negative
abusively,Negative
abusiveness,Negative
abysmal,Negative
abysmally,Negative
abyss,Negative
accept,Positive
acceptable,Positive
acceptableness,Positive
acceptably,Positive
acceptance,Positive
acceptances,Positive
acceptant,Positive
acceptation,Positive
accepted,Positive
accepting,Positive
accepts,Positive
accessable,Positive
accessible,Positive
accident,Negative
accidental,Negative
accidentally,Negative
accidentalness,Negative
accidentals,Negative
accidents,Negative
acclaim,Positive
acclaimed,Positive
acclamation,Positive
accolade,Positive
accolades,Positive
accommodative,Positive
accomodative,Positive
accompaniment,Positive
accomplish,Positive
accomplishable,Positive
accomplished,Positive
accomplisher,Positive
accomplishers,Positive
accomplishes,Positive
accomplishing,Positive
accomplishment,Positive
accomplishments,Positive
accost,Negative
accountable,Positive
accurate,Positive
accurately,Positive
accursed,Negative
accus,Negative
accusable,Negative
accusal,Negative
accusals,Negative
accusant,Negative
accusation,Negative
accusations,Negative
accusative,Negative
accusatively,Negative
accusativeness,Negative
accusatives,Negative
accusatorial,Negative
accusatorially,Negative
accusatory,Negative
accuse,Negative
accused,Negative
accuser,Negative
accusers,Negative
accuses,Negative
accusing,Negative
accusingly,Negative
acerbate,Negative
acerbic,Negative
acerbically,Negative
ache,Negative
ached,Negative
aches,Negative
achey,Negative
achievable,Positive
achievement,Positive
achievements,Positive
achievible,Positive
aching,Negative
acrid,Negative
acridly,Negative
acridness,Negative
acrimon,Negative
acrimonies,Negative
acrimonious,Negative
acrimoniously,Negative
acrimoniousness,Negative
acrimony,Negative
active,Positive
actively,Positive
acumen,Positive
adamant,Negative
adamantly,Negative
adaptable,Positive
adaptive,Positive
addict,Negative
addicted,Negative
addicting,Negative
addiction,Negative
addictions,Negative
addictive,Negative
addictively,Negative
addictiveness,Negative
addictives,Negative
addicts,Negative
adequate,Positive
adjustable,Positive
admir,Positive
admirable,Positive
admirably,Positive
admiration,Positive
admirations,Positive
admire,Positive
admired,Positive
admirer,Positive
admirers,Positive
admires,Positive
admiring,Positive
admiringly,Positive
admiringly,Positive
admonish,Negative
admonisher,Negative
admonishingly,Negative
admonishment,Negative
admonition,Negative
ador,Positive
adorability,Positive
adorable,Positive
adorableness,Positive
adorably,Positive
adoration,Positive
adore,Positive
adored,Positive
adorer,Positive
adorer,Positive
adorers,Positive
adores,Positive
adoring,Positive
adoringly,Positive
adorn,Positive
adroit,Positive
adroitly,Positive
adulate,Negative
adulation,Negative
adulatory,Negative
adulterat,Negative
adulterate,Negative
adulterated,Negative
adulterates,Negative
adulterating,Negative
adulteration,Negative
adulterator,Negative
adulterators,Negative
adulterier,Negative
adulteror,Negative
adultery,Negative
advance,Positive
advanced,Positive
advantage,Positive
advantaged,Positive
advantageous,Positive
advantageous,Positive
advantageously,Positive
advantageousness,Positive
advantages,Positive
advantaging,Positive
advent,Positive
adventur,Positive
adventure,Positive
adventured,Positive
adventurer,Positive
adventurers,Positive
adventures,Positive
adventuresome,Positive
adventuress,Positive
adventuresses,Positive
adventuring,Positive
adventurous,Positive
adventurously,Positive
adventurousness,Positive
advers,Negative
adversarial,Negative
adversary,Negative
adverse,Negative
adversity,Negative
advocacy,Positive
advocate,Positive
advocated,Positive
advocates,Positive
affability,Positive
affable,Positive
affably,Positive
affectation,Negative
affectations,Negative
affection,Positive
affectionate,Positive
affectionately,Positive
affectionless,Negative
affections,Positive
affinity,Positive
affirm,Positive
affirmation,Positive
affirmative,Positive
afflict,Negative
afflicted,Negative
afflicting,Negative
affliction,Negative
afflictions,Negative
afflictive,Negative
afflictively,Negative
afflicts,Negative
affluence,Positive
affluent,Positive
afford,Positive
affordable,Positive
affordably,Positive
affront,Negative
afordable,Positive
afraid,Negative
against,Negative
agghh,Negative
aggravat,Negative
aggravate,Negative
aggravated,Negative
aggravates,Negative
aggravating,Negative
aggravation,Negative
aggravations,Negative
aggress,Negative
aggressed,Negative
aggresses,Negative
aggressing,Negative
aggression,Negative
aggressions,Negative
aggressive,Negative
aggressively,Negative
aggressiveness,Negative
aggressor,Negative
aggressors,Negative
aggrieve,Negative
aggrieve,Negative
aggrieved,Negative
aggrieves,Negative
aggrivation,Negative
agh,Negative
aghast,Negative
aghh,Negative
agile,Positive
agilely,Positive
agility,Positive
agitat,Negative
agitate,Negative
agitated,Negative
agitation,Negative
agitato,Positive
agonies,Negative
agonis,Negative
agonise,Negative
agonised,Negative
agonises,Negative
agoniz,Negative
agonize,Negative
agonized,Negative
agonizes,Negative
agonizing,Negative
agonizingly,Negative
agony,Negative
agree,Positive
agreeab,Positive
agreeability,Positive
agreeable,Positive
agreeableness,Positive
agreeably,Positive
agreed,Positive
agreeing,Positive
agreement,Positive
agrees,Positive
aground,Negative
aid,Positive
aight,Positive
ail,Negative
ailing,Negative
ailment,Negative
ailments,Negative
ails,Negative
aimless,Negative
aimlessly,Negative
aimlessness,Negative
alacrity,Positive
alarm,Negative
alarmed,Negative
alarming,Negative
alarmingly,Negative
alas,Negative
alcoholic,Negative
alert,Negative
alertness,Negative
alibi,Negative
alienat,Negative
alienate,Negative
alienated,Negative
alienates,Negative
alienating,Negative
alienation,Negative
alienator,Negative
alive,Positive
all-around,Positive
allegation,Negative
allegations,Negative
allege,Negative
allergic,Negative
allergies,Negative
allergy,Negative
allgergies,Negative
allure,Positive
alluring,Positive
alluringly,Positive
aloha,Positive
alone,Negative
aloof,Negative
alright,Positive
altercation,Negative
altercations,Negative
altruistic,Positive
altruistically,Positive
amaz,Positive
amaze,Positive
amazed,Positive
amazedly,Positive
amazement,Positive
amazes,Positive
amazing,Positive
amazingly,Positive
ambiguit,Negative
ambiguities,Negative
ambiguity,Negative
ambiguous,Negative
ambiguously,Negative
ambiguousness,Negative
ambition,Positive
ambitious,Positive
ambitiously,Positive
ambivalence,Negative
ambivalent,Negative
ambush,Negative
ambushed,Negative
ambushes,Negative
ambushing,Negative
ambushment,Negative
ameliorate,Positive
amenable,Positive
amenity,Positive
amiab,Positive
amiability,Positive
amiabily,Positive
amiable,Positive
amiableness,Positive
amiably,Positive
amicability,Positive
amicable,Positive
amicably,Positive
a-million-things,Negative
amiss,Negative
amity,Positive
amor,Positive
amoral,Negative
amorality,Negative
amorally,Negative
amorous,Positive
amorously,Positive
amorousness,Positive
amort,Negative
amour,Positive
ample,Positive
amply,Positive
amputate,Negative
amputated,Negative
amputates,Negative
amus,Positive
amuse,Positive
amused,Positive
amusedly,Positive
amusement,Positive
amusements,Positive
amuser,Positive
amusers,Positive
amuses,Positive
amusing,Positive
amusingly,Positive
anal,Negative
anarchism,Negative
anarchist,Negative
anarchistic,Negative
anarchists,Negative
anarchy,Negative
anemic,Negative
angel,Positive
angelic,Positive
anger,Negative
angered,Negative
angering,Negative
angerly,Negative
angers,Negative
angr,Negative
angrier,Negative
angriest,Negative
angrily,Negative
angriness,Negative
angry,Negative
anguish,Negative
anguished,Negative
anguishes,Negative
anguishing,Negative
animation,Positive
animosity,Negative
annihilate,Negative
annihilation,Negative
annoy,Negative
annoyance,Negative
annoyances,Negative
annoyed,Negative
annoyer,Negative
annoying,Negative
annoyingly,Negative
annoys,Negative
anomalous,Negative
anomaly,Negative
antagoni,Negative
antagonism,Negative
antagonisms,Negative
antagonist,Negative
antagonistic,Negative
antagonistically,Negative
antagonists,Negative
antagonize,Negative
antagonized,Negative
antagonizes,Negative
antagonizing,Negative
anti-,Negative
anti-american,Negative
anticipation,Positive
anti-israeli,Negative
anti-occupation,Negative
antipathy,Negative
anti-proliferation,Negative
antiquated,Negative
anti-semites,Negative
anti-social,Negative
antithetical,Negative
antitrust,Negative
anti-us,Negative
anti-white,Negative
anxi,Negative
anxieties,Negative
anxiety,Negative
anxious,Negative
anxiously,Negative
anxiousness,Negative
aok,Positive
apath,Negative
apathetic,Negative
apathetically,Negative
apathies,Negative
apathy,Negative
apocalypse,Negative
apocalyptic,Negative
apologetic,Negative
apologist,Negative
apologists,Negative
apotheosis,Positive
appal,Negative
appall,Negative
appalled,Negative
appalling,Negative
appallingly,Negative
appalls,Negative
appeal,Positive
appealing,Positive
applaud,Positive
applaudable,Positive
applaudably,Positive
applauded,Positive
applauder,Positive
applauders,Positive
applauding,Positive
applauds,Positive
applause,Positive
appreciable,Positive
appreciat,Positive
