,Sentiment,Sentiment Num,Multi,Text
0,Negative,-1,-1,Effective  but   too-tepid  biopic
1,Positive,1,1,"If   you   sometimes   like   to    go   to   the  movies   to   have  fun   ,   Wasabi    is   a   good   place   to  start  ."
2,Positive,1,2,"Emerges   as   something  rare  ,    an   issue  movie   that    's     so  honest  and   keenly  observed   that   it    does  n't   feel   like  one  ."
3,Positive,1,1,Take  Care   of   My  Cat    offers    a    refreshingly  different  slice   of   Asian  cinema  .
4,Positive,1,2,"This      is    a  film  well  worth       seeing  ,  talking  and  singing    heads  and  all  ."
5,Positive,1,2,"One   of     the   greatest  family-oriented  ,   fantasy-adventure  movies  ever  ."
6,Neutral,0,0,"Ultimately   ,   it    ponders    the  reasons   we    need  stories   so  much  ."
7,Positive,1,1,"Not   for  everyone    ,  but    for   those   with  whom   it   will  connect   ,   it    's    a   nice  departure   from   standard   moviegoing  fare  ."
8,Positive,1,1,Scores   a   few  points   for   doing   what   it   does   with   a     dedicated  and  good-hearted  professionalism  .
9,Positive,1,1,"Occasionally  melodramatic   ,   it     's  also   extremely  effective  ."
10,Neutral,0,0,"At    about  95  minutes   ,    Treasure  Planet     maintains    a   brisk  pace   as   it  races   through   the   familiar  story  ."
11,Positive,1,2,"A   masterful  film   from   a   master  filmmaker  ,   unique   in   its   deceptive  grimness  ,    compelling   in   its   fatalist  worldview  ."
12,Negative,-1,-1,"Ms.  Fulford-Wierzbicki    is   almost   spooky   in   her   sulky   ,   calculating   Lolita  turn  ."
13,Negative,-1,-2,"Like    most   Bond  outings   in   recent  years   ,    some   of   the  stunts    are   so   outlandish   that   they   border   on   being  cartoonlike  ."
14,Positive,1,1,"Much   of   the  way   ,   though   ,   this    is   a    refreshingly  novel  ride  ."
15,Positive,1,1,The  film     makes    a   strong  case   for    the  importance   of   the  musicians   in   creating   the   Motown  sound  .
16,Positive,1,2,Gosling    provides    an   amazing  performance   that   dwarfs    everything  else   in   the  film  .
17,Positive,1,1,"A   real  movie  ,     about   real  people  ,   that     gives  us   a   rare  glimpse   into    a  culture    most   of  us    do  n't  know  ."
18,Positive,1,1,May   be    spoofing        an   easy  target  --   those  old  '     50  's   giant  creature  features  --  but  ...   it      acknowledges  and  celebrates   their  cheesiness   as    the  reason (3 (2 why (2 people  get    a  kick   out   of    watching  them  today  .
19,Positive,1,1,An   engaging  overview   of    Johnson  's   eccentric  career  .
20,Positive,1,1,"Everytime   you   think    Undercover  Brother   has    run  out   of  steam   ,   it       finds   a   new  way   to  surprise  and  amuse  ."
21,Positive,1,1,"A   pleasant   enough  movie  ,    held  together   by   skilled   ensemble  actors  ."
22,Neutral,0,0,Disney    has  always    been  hit-or-miss   when    bringing    beloved   kids  '  books   to   the  screen  ...    Tuck  Everlasting   is    a  little   of  both  .
23,Positive,1,1,"The   animated   subplot  keenly    depicts      the   inner  struggles   of   our   adolescent  heroes  -   insecure   ,   uncontrolled    ,  and  intense  ."
24,Positive,1,2,"A    truly  moving  experience  ,  and    a   perfect  example   of   how    art   --    when   done  right  --   can   help  heal  ,      clarify  ,  and  comfort  ."
25,Positive,1,2,"This  delicately  observed  story  ,    deeply    felt  and  masterfully  stylized  ,    is    a  triumph   for   its   maverick  director  ."
26,Neutral,0,0,"The  appearance   of  Treebeard  and    Gollum  's   expanded  role     will  either   have   you      loving   what   you   're  seeing  ,  or   rolling   your  eyes  ."
27,Positive,1,2,"It    's      the   best  film   of    the  year   so  far  ,    the  benchmark   against   which    all   other   Best   Picture  contenders   should   be  measured  ."
28,Positive,1,1,"This    is    a   startling  film   that    gives  you    a   fascinating   ,    albeit  depressing  view   of    Iranian   rural   life  close   to   the   Iraqi  border  ."
29,Positive,1,1,"Director  Kapur   is    a  filmmaker   with    a   real  flair   for     epic  landscapes  and  adventure  ,  and   this   is    a   better  film   than     his   earlier   English-language  movie  , the  overpraised  Elizabeth  ."
30,Positive,1,2,"The  movie      is    a  blast   of   educational  energy  ,   as    bouncy   animation   and   catchy  songs    escort  you   through   the   entire   85  minutes  ."
31,Positive,1,1,"If   nothing  else   ,    this  movie    introduces    a   promising   ,   unusual  kind   of   psychological  horror  ."
32,Negative,-1,-1,"In   a   normal   screen  process   ,    these  bromides    would   be   barely   enough   to    sustain   an   interstitial  program   on   the   Discovery  Channel  ."
33,Positive,1,1,Writer-director  Burger   imaginatively    fans     the  embers   of     a   dormant   national  grief  and  curiosity   that   has   calcified   into   chronic    cynicism  and  fear  .
34,Neutral,0,0,A   romantic  comedy  that    operates   by    the  rules   of   its   own   self-contained  universe  .
35,Positive,1,1,"This    may  not   have    the   dramatic   gut-wrenching  impact   of   other   Holocaust  films  ,  but   it     's   a   compelling  story  ,   mainly   because    of   the  way   it   's   told by   the people   who   were  there  ."
36,Neutral,0,0,Between    the  drama   of  Cube  ?
37,Positive,1,1,"A   gentle   ,   compassionate  drama   about    grief  and  healing  ."
38,Neutral,0,0,It    is   nature   against  progress  .
39,Positive,1,1,Gloriously   goofy      -LRB-  and  gory  -RRB-    midnight  movie   stuff  .
40,Positive,1,1,"As   lo-fi   as    the   special  effects  are   ,     the  folks   who  cobbled     Nemesis  together     indulge    the  force   of  humanity   over   hardware   in   a  way   that    George  Lucas  (2 (2 has long  forgotten  ."
41,Positive,1,1,"Far   from  perfect  ,   but    its  heart   is   in     the   right  place  ...    innocent  and  well-meaning  ."
42,Positive,1,1,"It   's   an   old  story  ,  but         a   lively  script  ,   sharp  acting  and  partially   animated  interludes   make   Just    a  Kiss   seem   minty  fresh  ."
43,Neutral,0,0,Must    be   seen   to   be  believed  .
44,Positive,1,2,"The  year    's     happiest  surprise  ,    a  movie   that   deals   with    a   real  subject   in   an    always  surprising  way  ."
45,Negative,-1,-2,"Its  mysteries   are   transparently  obvious  ,  and   it    's   too  slowly   paced   to   be   a  thriller  ."
46,Positive,1,1,A    solidly  seaworthy  chiller  .
47,Positive,1,1,If   you   can   get    past      the   fantastical  aspects  and  harsh  realities     of  ``   The  Isle  ''   you    'll   get    a   sock-you-in-the-eye  flick   that   is     a   visual  tour-de-force and   a story   that   is   unlike   any   you    will  likely   see   anywhere  else  .
48,Positive,1,1,"There   are    as   many   misses   as  hits    ,  but  ultimately   ,    it    finds  humor   in    the  foibles   of   human  behavior  ,  and   it   's    a   welcome  return   to    the roots  of   a  genre   that   should   depend   on  surprises  ."
49,Positive,1,2,Ranks   among    Willams  '   best  screen   work  .
50,Positive,1,2,This     is  simply    the   most  fun   you    'll  ever   have   with   a  documentary  !
51,Neutral,0,0,The  kind   of    nervous  film   that   will   either      give  you   a   mild  headache  or   exhilarate  you  .
52,Positive,1,1,Watching  Beanie  and   his  gang        put  together   his   slasher  video   from   spare  parts  and   borrowed   materials    is   as   much  fun   as   it   must   have   been   for   them   to make it  .
53,Positive,1,2,"Tadpole    is     a    sophisticated   ,    funny  and  good-natured  treat  ,   slight   but   a  pleasure  ."
54,Positive,1,1,"My  goodness  ,   Queen  Latifah   has   a   lot   to  offer  and   she   seemed   to   have    no  problem   flaunting   her   natural  gifts  ."
55,Positive,1,1,"Without  heavy-handedness   ,   Dong     provides  perspective   with    his   intelligent  grasp   of   human    foibles  and  contradictions  ."
56,Positive,1,1,It    is     interesting  and  fun   to    see    Goodall  and   her  chimpanzees   on   the   bigger-than-life  screen  .
57,Positive,1,1,"Narc    may  not   get    an   `   A  '   for  originality  ,  but   it    wears   its   B-movie  heritage   like    a  badge   of  honor  ."
58,Positive,1,1,"-LRB-   Drumline  -RRB-    is      entertaining   for   what   it  does  ,  and   admirable   for   what   it    does  n't  do  ."
59,Positive,1,1,Tsai  Ming-liang    has     taken   his   trademark  style  and    refined  it   to   a   crystalline  point  .
60,Positive,1,1,"Now   trimmed   by    about  20  minutes   ,    this   lavish   three-year-old  production    has   enough     grandeur  and  scale   to   satisfy   as   grown-up  escapism  ."
61,Positive,1,1,We     get     some    truly  unique   character  studies  and    a  cross-section   of  Americana   that   Hollywood     could  n't  possibly    fictionalize  and   be  believed  .
62,Positive,1,2,"Daring  ,  mesmerizing  and   exceedingly  hard    to  forget  ."
63,Positive,1,1,Moore  's  performance     impresses    almost   as  much   as   her  work   with   Haynes   in    1995  's  Safe  .
64,Positive,1,1,"An  absorbing  ,    slice-of-depression  life   that   touches     nerves  and  rings  true  ."
65,Positive,1,1,All  but    the   most   persnickety  preteens    should   enjoy   this     nonthreatening  but  thrilling  adventure  .
66,Positive,1,1,"Day    is  not   a   great   Bond  movie  ,  but   it   is     a   good   Bond  movie  ,   which   still   makes   it    much  better   than   your   typical   Bond  knock-offs  ."
67,Neutral,0,0,Polished   Korean   political-action  film      is  just   as   good     --  and  bad  --   as   Hollywood   action  epics  .
68,Positive,1,2,Lead  provocatuers     Testud  and  Parmentier   give   superlative  performances
69,Positive,1,1,"An   absorbing  trip   into    the    minds  and  motivations   of   people   under  stress   as   well  as    a   keen   ,   unsentimental  look   at   variations   on    the  theme   of  motherhood ."
70,Positive,1,1,"I      admired  it  ,   particularly   that    unexpected  downer   of   an  ending  ."
71,Positive,1,2,"The  passions   aroused   by    the  discord   between   old   and   new  cultures    are   set    against    the   strange   ,   stark  beauty   of   the   Mideast  desert   ,    so  lovingly   and  (0.583333333333333erceptively   filmed   that   you    can  almost   taste   the   desiccated  air  ."
72,Positive,1,2,Remarkably    accessible  and  affecting  .
73,Positive,1,2,"The  kooky  yet    shadowy   vision   Clooney   sustains  throughout    is   daring   ,    inventive  and  impressive  ."
74,Positive,1,2,JirÃ­   Hubac  's  script    is   a  gem  .
75,Positive,1,2,"His  characters   are  engaging   ,     intimate  and   the  dialogue    is    realistic  and   greatly  moving  ."
76,Positive,1,2,"Moore  's     complex  and  important  film    is   also    ,      believe  it  or  not  ,   immensely    entertaining  ,    a    David  and  Goliath   story   that     's  still   very  much    playing itself  out  ."
